geometry,repeat,point_index,direction_signal,direction_error,se_F_hat,first_order_scale,curvature
circle,0,0,0.05171011785745432,0.14351988303903412,0.007300358394876196,0.1411785294127657,0.9999999999999996
circle,0,25,0.007548342132364296,0.42131454903832755,0.007665752413928539,1.0155544461956532,1.0
circle,0,50,0.0031685804051920386,1.7515439425229944,0.007166171362357257,2.2616346899749686,1.0
circle,0,75,0.034589340088180175,0.07898207906929837,0.007990885818136475,0.2310216326118089,1.0
circle,0,100,0.010212020931790937,1.967701383792626,0.008051633470882091,0.7884466282101552,1.0
circle,0,126,0.020664913213840064,0.14874726093200658,0.007860249880292224,0.38036694366700374,1.0
circle,0,151,0.04226943691871116,0.016879411521184638,0.007596382777380239,0.17971336575854865,1.0000000000000002
circle,0,176,0.007717081611145803,0.18180348537964416,0.007111430400976756,0.9215181022195874,1.0000000000000002
circle,0,201,0.06923441285436456,0.036866981852106934,0.0068833652411547175,0.09942115426953878,1.0
circle,0,226,0.0559311973091533,0.10090566222588745,0.007864492343617005,0.14061011961083048,1.0
circle,0,252,0.010608505043412774,0.5797163055421632,0.008661615563591686,0.8164784319888705,0.9999999999999996
circle,0,277,0.0435855775454003,0.0834611507407561,0.006733379828636907,0.15448641977092484,1.0
circle,0,302,0.0933132579226233,0.0945619148899432,0.008288860607660143,0.0888283272086951,1.0
circle,0,327,0.049363551121508725,0.09449974267595701,0.0076803371886960065,0.15558720987861677,1.0
circle,0,352,0.028937170167347502,0.05272715428804937,0.007701603865488396,0.2661491714963487,1.0
circle,0,378,0.046085910843768035,0.1737311054216219,0.007386566207375408,0.16027818637275032,0.9999999999999996
circle,0,403,0.020184641006158008,1.112079114267105,0.008158492661132213,0.4041931020047961,1.0000000000000002
circle,0,428,0.015486934184480978,0.1818906380211119,0.007330352441160285,0.4733249559816574,1.0
circle,0,453,0.004271749313126769,1.1511391926937262,0.007825161826603564,1.83184013222813,1.0000000000000002
circle,0,478,0.1062255940774945,0.00012772069805811788,0.008451248383444592,0.07955943628123344,1.0
circle,0,504,0.010232443606034888,0.1440314921522651,0.007106417247646245,0.6944985500291468,1.0
circle,0,529,0.0048182462934442645,0.3161617262886476,0.006974489093267046,1.4475161020217209,1.0
circle,0,554,0.03740124467710527,0.03993929453226627,0.007292635207192951,0.1949837570955774,1.0
circle,0,579,0.06559017629667935,0.14085070999758653,0.008303840270794435,0.12660188978962747,1.0
circle,0,604,0.022227834910206842,0.24005403290287045,0.0073823416449393525,0.3321214897789906,1.0
circle,0,630,0.008388211236438512,0.038461647915233856,0.007243265917884861,0.8635054260937073,1.0
circle,0,655,0.019893053649322954,0.2779453153488606,0.007051719675331293,0.3544815089548252,1.0
circle,0,680,0.040773319986379765,0.25984771419313807,0.0073575015151120795,0.18044891898844234,1.0
circle,0,705,0.020399479599699562,0.7112557711403797,0.007179765280672207,0.35195825685562826,1.0
circle,0,730,0.03318447392405401,0.04411196752392641,0.00757867159464568,0.2283800433898765,1.0
circle,0,756,0.04350128540789753,0.08364198773391156,0.008406090428752332,0.19323774803275656,1.0
circle,0,781,0.04656086886363676,0.17590144963165022,0.00836224776544362,0.1795981898433685,1.0
circle,0,806,0.10560314486729282,0.007295874171173419,0.009905288549301543,0.0937972875878755,1.0
